n_cities,algorithm,best_distance,distance_per_city
194,BlindBlendAS,44609.55740414,223.04778702
194,BaselineAS,45776.73224474,228.88366122
194,ElitistAS,45847.89927957,229.23949640
194,MaxMinAS,44988.72492607,224.94362463
195,BlindBlendAS,42499.53385039,212.49766925
195,BaselineAS,43894.02290398,219.47011452
195,ElitistAS,43835.42047510,219.17710238
195,MaxMinAS,42356.98974226,211.78494871
196,BlindBlendAS,43626.23065778,218.13115329
196,BaselineAS,46330.67707751,231.65338539
196,ElitistAS,46417.84669687,232.08923348
196,MaxMinAS,44000.26690734,220.00133454
197,BlindBlendAS,42485.25894304,212.42629472
197,BaselineAS,45047.47698409,225.23738492
197,ElitistAS,44926.41827702,224.63209139
197,MaxMinAS,42412.63901644,212.06319508
198,BlindBlendAS,41558.48454211,207.79242271
198,BaselineAS,44759.11902377,223.79559512
198,ElitistAS,44544.13849993,222.72069250
198,MaxMinAS,41956.95241850,209.78476209
199,BlindBlendAS,44627.11717145,223.13558586
199,BaselineAS,46109.80192039,230.54900960
199,ElitistAS,46299.95084476,231.49975422
199,MaxMinAS,45132.18235992,225.66091180
200,BlindBlendAS,43277.91101013,216.38955505
200,BaselineAS,45047.67416945,225.23837085
200,ElitistAS,44294.82496209,221.47412481
200,MaxMinAS,43764.16109741,218.82080549
