n_cities,algorithm,best_distance,distance_per_city
120,MaxMinAS,19847.30374941,165.39419791
121,BlindBlendAS,21720.14575668,179.50533683
121,BaselineAS,22382.86916969,184.98238983
121,ElitistAS,22498.38092526,185.93703244
121,MaxMinAS,21678.88196052,179.16431372
122,BlindBlendAS,21755.24063058,178.32164451
122,BaselineAS,22344.56738219,183.15219166
122,ElitistAS,22535.14165639,184.71427587
122,MaxMinAS,21590.80309815,176.97379589
123,BlindBlendAS,21738.00861933,176.73177739
123,BaselineAS,22174.92744153,180.28396294
123,ElitistAS,22095.37517587,179.63719655
123,MaxMinAS,21554.60232394,175.24066930
124,BlindBlendAS,21215.82319174,171.09534832
124,BaselineAS,22238.75089811,179.34476531
124,ElitistAS,21747.68264543,175.38453746
124,MaxMinAS,21774.15583905,175.59803096
125,BlindBlendAS,21466.40857409,171.73126859
125,BaselineAS,22272.52113441,178.18016908
125,ElitistAS,22030.84351749,176.24674814
125,MaxMinAS,21456.47659067,171.65181273
126,BlindBlendAS,21537.36801283,170.93149217
126,BaselineAS,22264.74314646,176.70431069
126,ElitistAS,22247.54771665,176.56783902
126,MaxMinAS,21599.48046484,171.42444813
127,BlindBlendAS,22119.40776605,174.16856509
127,BaselineAS,22488.26523006,177.07295457
127,ElitistAS,22828.50931134,179.75204182
127,MaxMinAS,22279.93476986,175.43255724
128,BlindBlendAS,21686.79956277,169.42812158
128,BaselineAS,22271.41103107,173.99539868
128,ElitistAS,21978.93097168,171.71039822
128,MaxMinAS,21985.85430538,171.76448676
129,BlindBlendAS,22545.19449119,174.76894954
129,BaselineAS,22992.31506076,178.23500047
129,ElitistAS,23281.85098990,180.47946504
129,MaxMinAS,22581.70039336,175.05194103
130,BlindBlendAS,22494.16595327,173.03204579
130,BaselineAS,23461.32888517,180.47176066
130,ElitistAS,23282.45319038,179.09579377
130,MaxMinAS,23007.73529033,176.98257916
131,BlindBlendAS,23446.41677438,178.98028072
131,BaselineAS,24519.61852849,187.17266052
131,ElitistAS,24893.67897971,190.02808381
131,MaxMinAS,23446.41677438,178.98028072
132,BlindBlendAS,22742.15661357,172.28906525
132,BaselineAS,23025.69109054,174.43705372
132,ElitistAS,23044.44315744,174.57911483
132,MaxMinAS,22782.85476969,172.59738462
133,BlindBlendAS,24108.11249834,181.26400375
133,BaselineAS,24948.30983847,187.58127698
133,ElitistAS,25008.64117874,188.03489608
133,MaxMinAS,24112.82880183,181.29946468
134,BlindBlendAS,23593.75269070,176.07278127
134,BaselineAS,24364.96547053,181.82810053
134,ElitistAS,24448.82134346,182.45389062
134,MaxMinAS,23797.65346312,177.59442883
135,BlindBlendAS,24237.81506659,179.53937086
135,BaselineAS,24697.93455636,182.94766338
135,ElitistAS,24802.44422643,183.72180908
135,MaxMinAS,24379.81995629,180.59125894
136,BlindBlendAS,24663.04154699,181.34589373
136,BaselineAS,25465.25736009,187.24453941
136,ElitistAS,25511.21289806,187.58244778
136,MaxMinAS,24514.75492362,180.25555091
137,BlindBlendAS,24173.74100945,176.45066430
137,BaselineAS,25540.26863678,186.42531852
137,ElitistAS,25012.28754002,182.57144190
137,MaxMinAS,24343.23416376,177.68784061
138,BlindBlendAS,24310.09845119,176.16013370
138,BaselineAS,25557.06116881,185.19609543
138,ElitistAS,25487.33473162,184.69083139
138,MaxMinAS,24572.57269546,178.06212098
139,BlindBlendAS,25104.83686422,180.61033715
139,BaselineAS,26069.71159686,187.55188199
139,ElitistAS,26443.47956544,190.24086018
139,MaxMinAS,24826.45738464,178.60760708
140,BlindBlendAS,25160.27492162,179.71624944
140,BaselineAS,26265.17641384,187.60840296
140,ElitistAS,26173.53258600,186.95380419
140,MaxMinAS,25418.52093305,181.56086381
141,BlindBlendAS,24514.60778862,173.86246659
141,BaselineAS,25761.04311027,182.70243341
141,ElitistAS,25210.89445365,178.80066988
141,MaxMinAS,24867.93801695,176.36835473
142,BlindBlendAS,26769.78040079,188.51958029
142,BaselineAS,27887.98985318,196.39429474
142,ElitistAS,28143.78408704,198.19566258
142,MaxMinAS,26867.93247818,189.21079210
143,BlindBlendAS,25641.29501827,179.30975537
143,BaselineAS,26057.57361327,182.22079450
143,ElitistAS,25882.70022791,180.99790369
143,MaxMinAS,25416.12052048,177.73510853
144,BlindBlendAS,26924.52933065,186.97589813
144,BaselineAS,28392.04545551,197.16698233
144,ElitistAS,28202.02184613,195.84737393
144,MaxMinAS,27404.91847033,190.31193382
145,BlindBlendAS,26927.34822544,185.70584983
145,BaselineAS,28063.44535508,193.54100245
145,ElitistAS,28142.26933630,194.08461611
145,MaxMinAS,27072.21547648,186.70493432
146,BlindBlendAS,27763.03070247,190.15774454
146,BaselineAS,29431.23641199,201.58381104
146,ElitistAS,28914.93649002,198.04751021
146,MaxMinAS,28078.30691645,192.31717066
147,BlindBlendAS,27793.21877573,189.06951548
147,BaselineAS,29072.39358395,197.77138492
147,ElitistAS,29121.52713569,198.10562677
147,MaxMinAS,27966.31494677,190.24704045
148,BlindBlendAS,27480.05311471,185.67603456
148,BaselineAS,28650.02332533,193.58123868
148,ElitistAS,28895.28178937,195.23839047
148,MaxMinAS,27267.56511261,184.24030481
149,BlindBlendAS,27886.88178297,187.16028042
149,BaselineAS,29370.85641004,197.11984168
149,ElitistAS,28832.07764833,193.50387683
149,MaxMinAS,28019.77106701,188.05215481
150,BlindBlendAS,26924.61231349,179.49741542
150,BaselineAS,28173.76723934,187.82511493
150,ElitistAS,28178.97177480,187.85981183
150,MaxMinAS,26846.96024558,178.97973497
151,BlindBlendAS,28849.76971850,191.05807761
151,BaselineAS,30498.05754208,201.97389101
151,ElitistAS,30555.98506847,202.35751701
151,MaxMinAS,29228.44065075,193.56583212
152,BlindBlendAS,27992.19604760,184.15918452
152,BaselineAS,29208.59936335,192.16183792
152,ElitistAS,29200.45125257,192.10823192
152,MaxMinAS,28161.87798752,185.27551308
153,BlindBlendAS,28580.85584335,186.80297937
153,BaselineAS,29670.11005032,193.92228791
153,ElitistAS,29683.49661433,194.00978179
153,MaxMinAS,28657.33536973,187.30284555
154,BlindBlendAS,29719.65900409,192.98479873
154,BaselineAS,31035.79417993,201.53113104
154,ElitistAS,31005.99692397,201.33764236
154,MaxMinAS,30184.89797596,196.00583101
155,BlindBlendAS,29766.21051942,192.04006787
155,BaselineAS,30921.48966003,199.49348168
155,ElitistAS,30997.62468464,199.98467538
155,MaxMinAS,30280.56107225,195.35845853
156,BlindBlendAS,29860.97903473,191.41653227
156,BaselineAS,30494.42010785,195.47705197
156,ElitistAS,30772.64200416,197.26052567
156,MaxMinAS,30313.28435661,194.31592536
157,BlindBlendAS,31306.99486034,199.40761058
157,BaselineAS,32801.14777917,208.92450815
157,ElitistAS,32866.17701736,209.33870712
157,MaxMinAS,31234.02329785,198.94282355
158,BlindBlendAS,30254.01799461,191.48112655
158,BaselineAS,32021.10427660,202.66521694
158,ElitistAS,31894.13872470,201.86163750
158,MaxMinAS,31026.96572709,196.37320080
159,BlindBlendAS,31452.87743610,197.81683922
159,BaselineAS,33232.39664990,209.00878396
159,ElitistAS,32888.03195122,206.84296825
159,MaxMinAS,31878.69489921,200.49493647
160,BlindBlendAS,30863.52541768,192.89703386
160,BaselineAS,31818.03070744,198.86269192
160,ElitistAS,31517.52546990,196.98453419
160,MaxMinAS,30770.38718140,192.31491988
161,BlindBlendAS,30943.17465219,192.19363138
161,BaselineAS,32214.40204554,200.08945370
161,ElitistAS,32066.72929859,199.17223167
161,MaxMinAS,31072.19415952,192.99499478
162,BlindBlendAS,31343.14002598,193.47617300
162,BaselineAS,32898.68478097,203.07830112
162,ElitistAS,32838.90295305,202.70927749
162,MaxMinAS,31334.42294760,193.42236387
163,BlindBlendAS,33290.73805228,204.23765676
163,BaselineAS,34615.59180573,212.36559390
163,ElitistAS,34661.74837343,212.64876303
163,MaxMinAS,33898.38721958,207.96556576
164,BlindBlendAS,33492.86144282,204.22476490
164,BaselineAS,34952.36936951,213.12420347
164,ElitistAS,35170.94903155,214.45700629
164,MaxMinAS,33548.10027063,204.56158702
165,BlindBlendAS,31895.51698593,193.30616355
165,BaselineAS,34097.15061366,206.64939766
165,ElitistAS,34093.80303106,206.62910928
165,MaxMinAS,32350.21698629,196.06192113
166,BlindBlendAS,33204.96571291,200.02991393
166,BaselineAS,35354.33181129,212.97790248
166,ElitistAS,35662.02524936,214.83147741
166,MaxMinAS,33474.09763084,201.65119055
167,BlindBlendAS,33462.71354278,200.37553020
167,BaselineAS,35600.30787892,213.17549628
167,ElitistAS,35276.67161781,211.23755460
167,MaxMinAS,33865.21723718,202.78573196
168,BlindBlendAS,32908.60751498,195.88456854
168,BaselineAS,34064.75948851,202.76642553
168,ElitistAS,34121.84707163,203.10623257
168,MaxMinAS,33111.15085786,197.09018368
169,BlindBlendAS,33616.52177466,198.91433003
169,BaselineAS,34809.99297597,205.97628980
169,ElitistAS,34316.94893453,203.05886944
169,MaxMinAS,33726.88917331,199.56739156
170,BlindBlendAS,34568.56156700,203.34447981
170,BaselineAS,36235.92905699,213.15252386
170,ElitistAS,36449.01990181,214.40599942
170,MaxMinAS,34921.34265155,205.41966266
171,BlindBlendAS,35341.87905575,206.67765530
171,BaselineAS,37154.91587066,217.28020977
171,ElitistAS,37101.12698241,216.96565487
171,MaxMinAS,35390.32377387,206.96095774
172,BlindBlendAS,36534.29827681,212.40871091
172,BaselineAS,37210.40670965,216.33957389
172,ElitistAS,37324.98196088,217.00570907
172,MaxMinAS,36307.11831704,211.08789719
173,BlindBlendAS,36652.29912220,211.86300071
173,BaselineAS,38810.76771977,224.33969780
173,ElitistAS,38604.49457452,223.14736748
173,MaxMinAS,36719.02884095,212.24872162
174,BlindBlendAS,35081.81062999,201.61960132
