schedule,start_evaporation,end_evaporation,curve,seed_index,python_seed,city_seed,best_distance,blind_rounds,final_pheromone_min,final_pheromone_max,final_pheromone_mean
exponential,0.80000000,0.20000000,-4.00000000,5,53,53,7444.03551223,3,0.00671679,0.78317186,0.03275815
exponential,0.80000000,0.20000000,-4.00000000,6,54,54,7507.41944046,9,0.00666008,0.76856434,0.03179248
exponential,0.80000000,0.20000000,-4.00000000,7,55,55,7782.79672705,3,0.00642443,0.75525179,0.03142555
exponential,0.80000000,0.20000000,-4.00000000,8,56,56,8261.07248638,0,0.00605248,0.70674423,0.02979048
exponential,0.80000000,0.20000000,-4.00000000,9,57,57,7685.45940891,3,0.00650579,0.75437955,0.03115550
exponential,0.80000000,0.20000000,-2.00000000,0,48,48,6954.85093229,3,0.00718923,0.82467398,0.03447058
exponential,0.80000000,0.20000000,-2.00000000,1,49,49,7611.05045656,6,0.00656940,0.72101202,0.02998586
exponential,0.80000000,0.20000000,-2.00000000,2,50,50,8102.30007420,3,0.00617109,0.68703662,0.02872168
exponential,0.80000000,0.20000000,-2.00000000,3,51,51,7556.46569954,6,0.00661685,0.74603961,0.03087113
exponential,0.80000000,0.20000000,-2.00000000,4,52,52,6832.91087139,0,0.00731753,0.81660208,0.03472910
exponential,0.80000000,0.20000000,-2.00000000,5,53,53,7436.14890783,9,0.00672391,0.77783897,0.03313473
exponential,0.80000000,0.20000000,-2.00000000,6,54,54,7554.91503776,9,0.00661821,0.75302719,0.03139698
exponential,0.80000000,0.20000000,-2.00000000,7,55,55,7899.87023428,9,0.00632922,0.72792657,0.03055909
exponential,0.80000000,0.20000000,-2.00000000,8,56,56,8292.73295565,3,0.00602938,0.67193823,0.02852373
exponential,0.80000000,0.20000000,-2.00000000,9,57,57,7716.48742498,3,0.00647963,0.72639805,0.03016522
exponential,0.80000000,0.20000000,-1.00000000,0,48,48,6954.85093229,9,0.00718923,0.81596122,0.03442688
exponential,0.80000000,0.20000000,-1.00000000,1,49,49,7766.05800918,6,0.00643827,0.68891628,0.02891712
exponential,0.80000000,0.20000000,-1.00000000,2,50,50,8102.30007420,6,0.00617109,0.64840836,0.02734779
exponential,0.80000000,0.20000000,-1.00000000,3,51,51,7556.46569954,3,0.00661685,0.71017865,0.02989576
exponential,0.80000000,0.20000000,-1.00000000,4,52,52,6832.91087139,3,0.00731753,0.76744301,0.03240016
exponential,0.80000000,0.20000000,-1.00000000,5,53,53,7521.14560496,6,0.00664792,0.70833454,0.02983703
exponential,0.80000000,0.20000000,-1.00000000,6,54,54,7494.60579549,0,0.00667146,0.71595231,0.03070797
exponential,0.80000000,0.20000000,-1.00000000,7,55,55,7905.32533994,3,0.00632485,0.71887527,0.03047843
exponential,0.80000000,0.20000000,-1.00000000,8,56,56,8262.25592702,6,0.00605162,0.64801639,0.02743470
exponential,0.80000000,0.20000000,-1.00000000,9,57,57,7800.55795968,0,0.00640980,0.68777811,0.02949983
exponential,0.80000000,0.20000000,1.00000000,0,48,48,6954.85093229,6,0.00718923,0.69784959,0.03027802
exponential,0.80000000,0.20000000,1.00000000,1,49,49,7680.68977173,3,0.00650983,0.63239501,0.02766697
exponential,0.80000000,0.20000000,1.00000000,2,50,50,7901.18880935,3,0.00632816,0.61311608,0.02680115
exponential,0.80000000,0.20000000,1.00000000,3,51,51,7556.46569954,6,0.00661685,0.64344440,0.02800042
exponential,0.80000000,0.20000000,1.00000000,4,52,52,6832.91087139,6,0.00731753,0.78101755,0.03339850
exponential,0.80000000,0.20000000,1.00000000,5,53,53,7553.57924941,0,0.00661938,0.64310450,0.02818419
exponential,0.80000000,0.20000000,1.00000000,6,54,54,7494.60579549,6,0.00667146,0.63013378,0.02716812
exponential,0.80000000,0.20000000,1.00000000,7,55,55,7899.87023428,3,0.00632922,0.60212571,0.02579512
exponential,0.80000000,0.20000000,1.00000000,8,56,56,8262.25592702,9,0.00605162,0.58579551,0.02509445
exponential,0.80000000,0.20000000,1.00000000,9,57,57,7716.48742498,3,0.00647963,0.66719050,0.02842430
exponential,0.80000000,0.20000000,2.00000000,0,48,48,6954.85093229,6,0.00718923,0.66422525,0.02924289
exponential,0.80000000,0.20000000,2.00000000,1,49,49,7637.38789790,6,0.00654674,0.60889042,0.02618743
exponential,0.80000000,0.20000000,2.00000000,2,50,50,8102.30007420,9,0.00617109,0.61601177,0.02630251
exponential,0.80000000,0.20000000,2.00000000,3,51,51,7556.46569954,3,0.00661685,0.63348277,0.02720248
exponential,0.80000000,0.20000000,2.00000000,4,52,52,6881.90333199,9,0.00726543,0.67628281,0.02906664
exponential,0.80000000,0.20000000,2.00000000,5,53,53,7553.57924941,0,0.00661938,0.61116588,0.02710145
exponential,0.80000000,0.20000000,2.00000000,6,54,54,7494.60579549,3,0.00667146,0.70830902,0.03054591
exponential,0.80000000,0.20000000,2.00000000,7,55,55,7890.39569371,3,0.00633682,0.58239742,0.02573194
exponential,0.80000000,0.20000000,2.00000000,8,56,56,8211.67068217,6,0.00608889,0.56112960,0.02489053
exponential,0.80000000,0.20000000,2.00000000,9,57,57,7716.48742498,3,0.00647963,0.59753805,0.02643989
exponential,0.80000000,0.20000000,4.00000000,0,48,48,6954.85093229,6,0.00718923,0.61877735,0.02714090
exponential,0.80000000,0.20000000,4.00000000,1,49,49,7744.80309153,3,0.00645594,0.54289846,0.02442375
exponential,0.80000000,0.20000000,4.00000000,2,50,50,7901.18880935,6,0.00632816,0.54412371,0.02381234
exponential,0.80000000,0.20000000,4.00000000,3,51,51,7556.46569954,9,0.00661685,0.67583468,0.02928759
exponential,0.80000000,0.20000000,4.00000000,4,52,52,6828.41388985,0,0.00732234,0.61853363,0.02803860
exponential,0.80000000,0.20000000,4.00000000,5,53,53,7436.70258516,3,0.00672341,0.56738286,0.02571264
exponential,0.80000000,0.20000000,4.00000000,6,54,54,7507.41944046,6,0.00666008,0.67718430,0.02936260
exponential,0.80000000,0.20000000,4.00000000,7,55,55,7787.24265640,3,0.00642076,0.54225729,0.02454319
exponential,0.80000000,0.20000000,4.00000000,8,56,56,8232.25199510,6,0.00607367,0.50227100,0.02276448
exponential,0.80000000,0.20000000,4.00000000,9,57,57,7734.34426693,6,0.00646467,0.54351704,0.02458597
logarithmic,0.80000000,0.20000000,-9.00000000,0,48,48,6954.85093229,6,0.00718923,0.62525838,0.02799639
logarithmic,0.80000000,0.20000000,-9.00000000,1,49,49,7611.05045656,9,0.00656940,0.57044278,0.02514828
logarithmic,0.80000000,0.20000000,-9.00000000,2,50,50,8121.85251115,6,0.00615623,0.53687173,0.02344190
logarithmic,0.80000000,0.20000000,-9.00000000,3,51,51,7556.46569954,3,0.00661685,0.59373783,0.02582314
logarithmic,0.80000000,0.20000000,-9.00000000,4,52,52,6881.90333199,9,0.00726543,0.63400649,0.02765738
