schedule,start_evaporation,end_evaporation,curve,runs,average_best_distance,best_distance,worst_distance,stddev_best_distance,average_blind_rounds,average_pheromone_min,average_pheromone_max,average_pheromone_mean
logarithmic,0.90000000,0.20000000,1.00000000,10,7591.51422593,6832.91087139,8231.71611541,424.81499511,3.90000000,0.00660748,0.69079651,0.02946537
exponential,0.80000000,0.30000000,-1.00000000,10,7592.42868084,6954.85093229,8211.67068217,381.05391699,5.70000000,0.00440151,0.50337899,0.02101113
logarithmic,0.80000000,0.20000000,3.00000000,10,7592.51541620,6832.91087139,8303.16154968,430.33728557,5.10000000,0.00660705,0.72105609,0.03043992
linear,0.80000000,0.20000000,1.00000000,10,7593.70956246,6915.62465425,8262.25592702,408.50319287,5.70000000,0.00660377,0.67895552,0.02893576
logarithmic,0.80000000,0.30000000,-1.00000000,10,7593.73399428,6832.91087139,8378.40875624,429.41101648,4.50000000,0.00440389,0.49132658,0.02081157
exponential,0.80000000,0.20000000,-2.00000000,10,7595.77325945,6832.91087139,8292.73295565,432.55489473,5.10000000,0.00660444,0.74524933,0.03125581
exponential,0.90000000,0.20000000,-1.00000000,10,7595.80719909,6917.71335385,8358.95015424,426.76962918,5.40000000,0.00660349,0.71619593,0.03028580
logarithmic,0.90000000,0.20000000,-1.00000000,10,7596.08076633,6855.78566400,8211.67068217,406.55998771,4.50000000,0.00660181,0.65420611,0.02828578
logarithmic,0.80000000,0.20000000,-3.00000000,10,7597.34417394,6832.91087139,8262.25592702,425.18159639,4.80000000,0.00660242,0.63561855,0.02763414
exponential,0.70000000,0.40000000,4.00000000,10,7598.01778666,6832.91087139,8263.90097069,439.47803982,6.60000000,0.00330158,0.36875600,0.01556423
exponential,0.80000000,0.20000000,2.00000000,10,7599.96467817,6881.90333199,8211.67068217,408.99650529,4.80000000,0.00659855,0.62594330,0.02727117
exponential,0.80000000,0.30000000,-2.00000000,10,7601.06342941,6832.91087139,8260.95552056,429.03044138,3.60000000,0.00439971,0.51038521,0.02132013
exponential,0.90000000,0.20000000,4.00000000,10,7602.74764825,6855.78566400,8347.27784926,433.13448919,5.10000000,0.00659830,0.58966362,0.02626459
linear,0.80000000,0.30000000,1.00000000,10,7603.05836887,6864.81336599,8262.25592702,419.50892226,4.50000000,0.00439788,0.49714999,0.02093603
exponential,0.60000000,0.20000000,-4.00000000,10,7604.37638997,6884.21952401,8292.73295565,426.83904012,3.30000000,0.00659628,0.77540962,0.03222286
logarithmic,0.80000000,0.20000000,-9.00000000,10,7604.89238954,6881.90333199,8287.95840404,422.73613654,4.80000000,0.00659544,0.57777622,0.02558368
logarithmic,0.60000000,0.20000000,-1.00000000,10,7607.66581958,6966.28896567,8267.91297080,391.16276919,6.60000000,0.00659004,0.68634030,0.02901243
logarithmic,0.80000000,0.30000000,-3.00000000,10,7608.86909037,6881.90333199,8347.27784926,430.30499625,5.10000000,0.00439509,0.46889791,0.01989564
exponential,0.70000000,0.30000000,-4.00000000,10,7611.20803855,6954.85093229,8292.73295565,404.88131363,5.70000000,0.00439209,0.52149565,0.02163186
logarithmic,0.80000000,0.30000000,1.00000000,10,7614.16275794,6928.92143116,8262.25592702,413.30420239,5.70000000,0.00439098,0.49735238,0.02077828
logarithmic,0.70000000,0.30000000,1.00000000,10,7615.33301665,6912.56983860,8380.98003793,416.88374138,5.40000000,0.00439048,0.50157186,0.02099996
logarithmic,0.80000000,0.20000000,-1.00000000,10,7616.12238940,6864.81336599,8262.25592702,428.58648489,5.10000000,0.00658636,0.66144171,0.02849016
exponential,0.80000000,0.20000000,-1.00000000,10,7619.64762137,6832.91087139,8262.25592702,432.65627790,4.20000000,0.00658386,0.71098641,0.03009457
