n_cities,algorithm,best_distance,distance_per_city
115,ElitistAS,20485.68436725,178.13638580
115,MaxMinAS,19873.51686510,172.81319013
116,BlindBlendAS,20271.43707909,174.75376792
116,BaselineAS,21154.21657669,182.36393601
116,ElitistAS,21195.36828826,182.71869214
116,MaxMinAS,20748.21770432,178.86394573
117,BlindBlendAS,18744.39792933,160.20852931
117,BaselineAS,19921.26760082,170.26724445
117,ElitistAS,19961.86737450,170.61425106
117,MaxMinAS,18713.89905015,159.94785513
118,BlindBlendAS,21069.47136351,178.55484206
118,BaselineAS,21724.11097096,184.10263535
118,ElitistAS,22151.75533416,187.72674012
118,MaxMinAS,20983.17096214,177.82348273
119,BlindBlendAS,20457.69869764,171.91343443
119,BaselineAS,20565.54082256,172.81967078
119,ElitistAS,20592.08999722,173.04277309
119,MaxMinAS,20422.94153509,171.62135744
120,BlindBlendAS,20748.17485589,172.90145713
120,BaselineAS,20395.00164894,169.95834707
120,ElitistAS,20321.99664345,169.34997203
120,MaxMinAS,20025.78087568,166.88150730
121,BlindBlendAS,22371.38605542,184.88748806
121,BaselineAS,23453.88933474,193.83379615
121,ElitistAS,23330.27246732,192.81216915
121,MaxMinAS,22547.40911581,186.34222410
122,BlindBlendAS,21780.06490592,178.52512218
122,BaselineAS,23226.36322464,190.38002643
122,ElitistAS,22907.95364465,187.77011184
122,MaxMinAS,22146.58767784,181.52940720
123,BlindBlendAS,21785.22127669,177.11562014
123,BaselineAS,22360.41493613,181.79199135
123,ElitistAS,22271.84059858,181.07187479
123,MaxMinAS,21970.71246720,178.62367860
124,BlindBlendAS,22351.66107077,180.25533122
124,BaselineAS,23154.78315245,186.73212220
124,ElitistAS,22614.14226836,182.37211507
124,MaxMinAS,21645.85038147,174.56330953
125,BlindBlendAS,21923.17729042,175.38541832
125,BaselineAS,23198.11551668,185.58492413
125,ElitistAS,23190.34011056,185.52272088
125,MaxMinAS,21672.06892175,173.37655137
126,BlindBlendAS,21811.30567500,173.10560060
126,BaselineAS,22852.72654429,181.37084559
126,ElitistAS,22510.67281397,178.65613344
126,MaxMinAS,21972.30951295,174.38340883
127,BlindBlendAS,22654.20551771,178.37957101
127,BaselineAS,23226.49252646,182.88576792
127,ElitistAS,23571.46907395,185.60211869
127,MaxMinAS,22302.28966921,175.60858007
128,BlindBlendAS,22367.12832020,174.74319000
128,BaselineAS,22214.72042189,173.55250330
128,ElitistAS,21980.43426389,171.72214269
128,MaxMinAS,21913.18687091,171.19677243
129,BlindBlendAS,22963.65871167,178.01285823
129,BaselineAS,23361.27671737,181.09516835
129,ElitistAS,23094.26929338,179.02534336
129,MaxMinAS,22868.10812985,177.27215605
130,BlindBlendAS,22810.82618117,175.46789370
130,BaselineAS,23824.38702949,183.26451561
130,ElitistAS,23469.02769978,180.53098231
130,MaxMinAS,23239.47681388,178.76520626
131,BlindBlendAS,24124.05366186,184.15308139
131,BaselineAS,25427.56023159,194.10351322
131,ElitistAS,25180.90987168,192.22068604
131,MaxMinAS,23795.63043815,181.64603388
132,BlindBlendAS,22964.29194532,173.97190868
132,BaselineAS,23438.26585344,177.56262010
132,ElitistAS,23343.12915712,176.84188755
132,MaxMinAS,22893.80312083,173.43790243
133,BlindBlendAS,24463.32666144,183.93478693
133,BaselineAS,25832.14551947,194.22665804
133,ElitistAS,25331.24266539,190.46047117
133,MaxMinAS,24265.14916068,182.44473053
134,BlindBlendAS,23885.06435557,178.24674892
134,BaselineAS,24968.27635431,186.33042055
134,ElitistAS,24550.64509851,183.21376939
134,MaxMinAS,24468.13823729,182.59804655
135,BlindBlendAS,24552.24823757,181.86850546
135,BaselineAS,24911.67898956,184.53095548
135,ElitistAS,25183.65535786,186.54559524
135,MaxMinAS,24354.19290029,180.40142889
136,BlindBlendAS,25257.30462579,185.71547519
136,BaselineAS,25617.24509203,188.36209626
136,ElitistAS,25335.39283961,186.28965323
136,MaxMinAS,24576.04364021,180.70620324
137,BlindBlendAS,25053.80062126,182.87445709
137,BaselineAS,25807.30861780,188.37451546
137,ElitistAS,25524.27504734,186.30857699
137,MaxMinAS,24626.54038681,179.75576925
138,BlindBlendAS,24815.48153889,179.82232999
138,BaselineAS,25253.63445597,182.99735113
138,ElitistAS,25870.99537611,187.47098099
138,MaxMinAS,24341.83927137,176.39013965
139,BlindBlendAS,25677.97022986,184.73359878
139,BaselineAS,26046.77878268,187.38689772
139,ElitistAS,26115.53076005,187.88151626
139,MaxMinAS,25570.98829918,183.96394460
140,BlindBlendAS,26044.48347273,186.03202481
140,BaselineAS,26329.90792227,188.07077087
140,ElitistAS,26451.09391366,188.93638510
140,MaxMinAS,25734.36569313,183.81689781
