n_cities,algorithm,best_distance,distance_per_city
157,ElitistAS,67178.86630088,268.71546520
157,MaxMinAS,64364.38392876,257.45753572
158,BlindBlendAS,63817.52544944,255.27010180
158,BaselineAS,67471.40408674,269.88561635
158,ElitistAS,67719.54261421,270.87817046
158,MaxMinAS,64398.46788154,257.59387153
159,BlindBlendAS,64473.09548004,257.89238192
159,BaselineAS,67464.34495161,269.85737981
159,ElitistAS,67539.95552287,270.15982209
159,MaxMinAS,66114.60184554,264.45840738
160,BlindBlendAS,61883.50286655,247.53401147
160,BaselineAS,66436.31449533,265.74525798
160,ElitistAS,66984.15833728,267.93663335
160,MaxMinAS,61816.16995791,247.26467983
161,BlindBlendAS,62709.80030991,250.83920124
161,BaselineAS,67226.23341957,268.90493368
161,ElitistAS,66408.11519314,265.63246077
161,MaxMinAS,64910.92522422,259.64370090
162,BlindBlendAS,60528.38254517,242.11353018
162,BaselineAS,65010.65247093,260.04260988
162,ElitistAS,64618.35138912,258.47340556
162,MaxMinAS,62696.51217327,250.78604869
163,BlindBlendAS,63509.65800152,254.03863201
163,BaselineAS,68198.39337313,272.79357349
163,ElitistAS,67907.39665865,271.62958663
163,MaxMinAS,64739.40726620,258.95762906
164,BlindBlendAS,63461.31847781,253.84527391
164,BaselineAS,68094.26254299,272.37705017
164,ElitistAS,67971.22540229,271.88490161
164,MaxMinAS,63391.89253606,253.56757014
165,BlindBlendAS,62803.54739657,251.21418959
165,BaselineAS,64773.36484306,259.09345937
165,ElitistAS,65064.80641210,260.25922565
165,MaxMinAS,62689.18279455,250.75673118
166,BlindBlendAS,63782.73472445,255.13093890
166,BaselineAS,68771.76909265,275.08707637
166,ElitistAS,68418.90394032,273.67561576
166,MaxMinAS,65745.68289623,262.98273158
167,BlindBlendAS,67704.48323133,270.81793293
167,BaselineAS,69736.29076269,278.94516305
167,ElitistAS,68345.69090622,273.38276362
167,MaxMinAS,64672.70077918,258.69080312
168,BlindBlendAS,59610.23460853,238.44093843
168,BaselineAS,64326.85665764,257.30742663
168,ElitistAS,62572.81357920,250.29125432
168,MaxMinAS,64792.88350657,259.17153403
169,BlindBlendAS,63587.35697469,254.34942790
169,BaselineAS,67609.43783562,270.43775134
169,ElitistAS,67309.60070137,269.23840281
169,MaxMinAS,63673.49894162,254.69399577
170,BlindBlendAS,59792.65997228,239.17063989
170,BaselineAS,64035.52638438,256.14210554
170,ElitistAS,63079.21815139,252.31687261
170,MaxMinAS,63103.81398877,252.41525596
171,BlindBlendAS,61895.66692416,247.58266770
171,BaselineAS,65618.03188758,262.47212755
171,ElitistAS,65914.41458593,263.65765834
171,MaxMinAS,63761.19328689,255.04477315
172,BlindBlendAS,63064.17137243,252.25668549
172,BaselineAS,67069.69015501,268.27876062
172,ElitistAS,65252.65035480,261.01060142
172,MaxMinAS,66297.67303120,265.19069212
173,BlindBlendAS,63977.55819119,255.91023276
173,BaselineAS,70132.27123116,280.52908492
173,ElitistAS,68389.82182786,273.55928731
173,MaxMinAS,69001.87159494,276.00748638
174,BlindBlendAS,62027.01305042,248.10805220
174,BaselineAS,66893.00333590,267.57201334
174,ElitistAS,65746.47639690,262.98590559
174,MaxMinAS,65815.84493791,263.26337975
175,BlindBlendAS,61986.74731917,247.94698928
175,BaselineAS,67370.83764167,269.48335057
175,ElitistAS,64453.63647232,257.81454589
175,MaxMinAS,65008.26055984,260.03304224
176,BlindBlendAS,62024.76310272,248.09905241
176,BaselineAS,68077.93638532,272.31174554
176,ElitistAS,67922.18023805,271.68872095
176,MaxMinAS,66566.60251069,266.26641004
177,BlindBlendAS,64627.33572715,258.50934291
177,BaselineAS,69652.81205612,278.61124822
177,ElitistAS,68398.87977999,273.59551912
177,MaxMinAS,68436.49310752,273.74597243
178,BlindBlendAS,63668.30067479,254.67320270
178,BaselineAS,68724.74390884,274.89897564
178,ElitistAS,67700.46091398,270.80184366
178,MaxMinAS,64997.65761199,259.99063045
179,BlindBlendAS,64654.15315524,258.61661262
179,BaselineAS,67706.47207559,270.82588830
179,ElitistAS,67720.47837565,270.88191350
179,MaxMinAS,64566.13193935,258.26452776
180,BlindBlendAS,59885.88715622,239.54354862
180,BaselineAS,63591.02831720,254.36411327
180,ElitistAS,60377.15958206,241.50863833
180,MaxMinAS,61642.30281496,246.56921126
181,BlindBlendAS,60908.97808214,243.63591233
181,BaselineAS,66205.53392006,264.82213568
181,ElitistAS,65013.24758113,260.05299032
181,MaxMinAS,63873.22182230,255.49288729
182,BlindBlendAS,62651.27084795,250.60508339
182,BaselineAS,66489.61572573,265.95846290
182,ElitistAS,66103.04305624,264.41217222
182,MaxMinAS,62674.00702484,250.69602810
183,BlindBlendAS,62433.53300572,249.73413202
183,BaselineAS,63930.60534408,255.72242138
183,ElitistAS,65347.28561901,261.38914248
183,MaxMinAS,66793.66319284,267.17465277
184,BlindBlendAS,61496.62217507,245.98648870
184,BaselineAS,65086.78343013,260.34713372
184,ElitistAS,65134.54310314,260.53817241
184,MaxMinAS,62143.54297906,248.57417192
185,BlindBlendAS,62216.93001058,248.86772004
185,BaselineAS,67734.20958057,270.93683832
185,ElitistAS,64500.62035454,258.00248142
185,MaxMinAS,62908.09386346,251.63237545
186,BlindBlendAS,60512.66761462,242.05067046
186,BaselineAS,66216.34968652,264.86539875
186,ElitistAS,65734.69311013,262.93877244
186,MaxMinAS,62664.39940119,250.65759760
187,BlindBlendAS,63258.38206789,253.03352827
187,BaselineAS,66042.15325084,264.16861300
187,ElitistAS,67181.14684326,268.72458737
187,MaxMinAS,64082.11063809,256.32844255
188,BlindBlendAS,64205.51768681,256.82207075
188,BaselineAS,67164.10334151,268.65641337
188,ElitistAS,66669.96706010,266.67986824
188,MaxMinAS,64731.70460477,258.92681842
189,BlindBlendAS,61602.61175531,246.41044702
189,BaselineAS,70340.15841107,281.36063364
