n_cities,algorithm,best_distance,distance_per_city
162,ElitistAS,47074.25368712,235.37126844
162,MaxMinAS,45680.18579906,228.40092900
163,BlindBlendAS,45882.77014246,229.41385071
163,BaselineAS,48140.94914889,240.70474574
163,ElitistAS,48436.66454984,242.18332275
163,MaxMinAS,46448.69183041,232.24345915
164,BlindBlendAS,45013.68969578,225.06844848
164,BaselineAS,47437.37870267,237.18689351
164,ElitistAS,46868.52775320,234.34263877
164,MaxMinAS,47787.40858763,238.93704294
165,BlindBlendAS,44727.96527374,223.63982637
165,BaselineAS,46805.93678745,234.02968394
165,ElitistAS,47525.15756038,237.62578780
165,MaxMinAS,46144.71944858,230.72359724
166,BlindBlendAS,45358.33522008,226.79167610
166,BaselineAS,48038.17165988,240.19085830
166,ElitistAS,48178.56779236,240.89283896
166,MaxMinAS,45563.60517279,227.81802586
167,BlindBlendAS,46540.40236686,232.70201183
167,BaselineAS,48979.61210223,244.89806051
167,ElitistAS,47981.29371696,239.90646858
167,MaxMinAS,47566.25852388,237.83129262
168,BlindBlendAS,43322.96205924,216.61481030
168,BaselineAS,45076.23849097,225.38119245
168,ElitistAS,45019.74624768,225.09873124
168,MaxMinAS,44736.83927179,223.68419636
169,BlindBlendAS,44164.25018837,220.82125094
169,BaselineAS,45038.33237800,225.19166189
169,ElitistAS,45889.50353571,229.44751768
169,MaxMinAS,44373.86522314,221.86932612
170,BlindBlendAS,45221.34751344,226.10673757
170,BaselineAS,47144.09751284,235.72048756
170,ElitistAS,47269.96666151,236.34983331
170,MaxMinAS,44316.88095941,221.58440480
171,BlindBlendAS,44795.67484584,223.97837423
171,BaselineAS,47318.50136965,236.59250685
171,ElitistAS,46176.25895130,230.88129476
171,MaxMinAS,44507.10918891,222.53554594
172,BlindBlendAS,45911.11312236,229.55556561
172,BaselineAS,46887.25222548,234.43626113
172,ElitistAS,47522.73507989,237.61367540
172,MaxMinAS,46435.98928076,232.17994640
173,BlindBlendAS,45688.06212258,228.44031061
173,BaselineAS,48952.28509964,244.76142550
173,ElitistAS,47527.14431638,237.63572158
173,MaxMinAS,47173.35409123,235.86677046
174,BlindBlendAS,45297.61127674,226.48805638
174,BaselineAS,49807.25679257,249.03628396
174,ElitistAS,47690.66769530,238.45333848
174,MaxMinAS,46158.72990228,230.79364951
175,BlindBlendAS,45607.88960774,228.03944804
175,BaselineAS,46782.97773055,233.91488865
175,ElitistAS,45647.50785051,228.23753925
