n_cities,algorithm,best_distance,distance_per_city
191,BaselineAS,30973.98879460,206.49325863
191,ElitistAS,30930.73784242,206.20491895
191,MaxMinAS,29872.40257610,199.14935051
192,BlindBlendAS,28232.53742316,188.21691615
192,BaselineAS,29665.37038028,197.76913587
192,ElitistAS,29094.54026561,193.96360177
192,MaxMinAS,28316.03893219,188.77359288
193,BlindBlendAS,28040.25026325,186.93500176
193,BaselineAS,29595.16674055,197.30111160
193,ElitistAS,29339.85008031,195.59900054
193,MaxMinAS,28389.67062723,189.26447085
194,BlindBlendAS,28331.16680492,188.87444537
194,BaselineAS,29335.69550618,195.57130337
194,ElitistAS,29347.82568300,195.65217122
194,MaxMinAS,28784.18532767,191.89456885
195,BlindBlendAS,28011.60978511,186.74406523
195,BaselineAS,29136.54465054,194.24363100
195,ElitistAS,28956.67401550,193.04449344
195,MaxMinAS,28351.05991896,189.00706613
196,BlindBlendAS,27640.04422245,184.26696148
196,BaselineAS,29199.43352719,194.66289018
196,ElitistAS,28730.35446748,191.53569645
196,MaxMinAS,27949.06094069,186.32707294
197,BlindBlendAS,27442.29967206,182.94866448
197,BaselineAS,28957.39161032,193.04927740
197,ElitistAS,28584.12863903,190.56085759
197,MaxMinAS,28270.31040384,188.46873603
198,BlindBlendAS,27894.56702931,185.96378020
198,BaselineAS,29273.12292041,195.15415280
198,ElitistAS,29300.52148613,195.33680991
198,MaxMinAS,28167.18610878,187.78124073
199,BlindBlendAS,28897.46492884,192.64976619
199,BaselineAS,30448.25366932,202.98835780
199,ElitistAS,30183.33420300,201.22222802
199,MaxMinAS,29448.99371240,196.32662475
200,BlindBlendAS,28240.31142683,188.26874285
200,BaselineAS,29148.23648989,194.32157660
200,ElitistAS,28594.81200543,190.63208004
200,MaxMinAS,28310.36859986,188.73579067
