n_cities,algorithm,best_distance,distance_per_city
120,MaxMinAS,15289.57682537,152.89576825
121,BlindBlendAS,16604.42798057,166.04427981
121,BaselineAS,17183.98142761,171.83981428
121,ElitistAS,16872.00135498,168.72001355
121,MaxMinAS,16898.49323154,168.98493232
122,BlindBlendAS,16006.85738899,160.06857389
122,BaselineAS,16538.26384047,165.38263840
122,ElitistAS,16381.79349735,163.81793497
122,MaxMinAS,16131.36493882,161.31364939
123,BlindBlendAS,15841.39919423,158.41399194
123,BaselineAS,16110.42068808,161.10420688
123,ElitistAS,15902.87023967,159.02870240
123,MaxMinAS,15841.39919423,158.41399194
124,BlindBlendAS,15676.72133983,156.76721340
124,BaselineAS,16276.94445374,162.76944454
124,ElitistAS,16176.52442390,161.76524424
124,MaxMinAS,15772.19570006,157.72195700
125,BlindBlendAS,15749.63870223,157.49638702
125,BaselineAS,15844.57978135,158.44579781
125,ElitistAS,15834.24491608,158.34244916
125,MaxMinAS,15647.08175131,156.47081751
126,BlindBlendAS,15899.29902185,158.99299022
126,BaselineAS,16235.35819868,162.35358199
126,ElitistAS,16121.08571969,161.21085720
126,MaxMinAS,15993.02206545,159.93022065
127,BlindBlendAS,15580.06361620,155.80063616
127,BaselineAS,16211.75318667,162.11753187
127,ElitistAS,16171.74660131,161.71746601
127,MaxMinAS,15535.63035547,155.35630355
128,BlindBlendAS,15188.94285019,151.88942850
128,BaselineAS,15236.59764007,152.36597640
128,ElitistAS,15214.89950932,152.14899509
128,MaxMinAS,15197.79160517,151.97791605
129,BlindBlendAS,15633.16500935,156.33165009
129,BaselineAS,15699.83032080,156.99830321
129,ElitistAS,15696.24137146,156.96241371
129,MaxMinAS,15633.16500935,156.33165009
130,BlindBlendAS,14987.48494010,149.87484940
130,BaselineAS,15372.89378916,153.72893789
130,ElitistAS,15320.55293445,153.20552934
130,MaxMinAS,14953.07842722,149.53078427
131,BlindBlendAS,15620.57836916,156.20578369
131,BaselineAS,15947.10272231,159.47102722
131,ElitistAS,15849.63587559,158.49635876
