schedule,start_evaporation,end_evaporation,curve,iteration,evaporation
exponential,0.90000000,0.20000000,-1.00000000,21,0.51400930
exponential,0.90000000,0.20000000,-1.00000000,22,0.49943620
exponential,0.90000000,0.20000000,-1.00000000,23,0.48515750
exponential,0.90000000,0.20000000,-1.00000000,24,0.47116725
exponential,0.90000000,0.20000000,-1.00000000,25,0.45745962
exponential,0.90000000,0.20000000,-1.00000000,26,0.44402891
exponential,0.90000000,0.20000000,-1.00000000,27,0.43086951
exponential,0.90000000,0.20000000,-1.00000000,28,0.41797595
exponential,0.90000000,0.20000000,-1.00000000,29,0.40534285
exponential,0.90000000,0.20000000,-1.00000000,30,0.39296496
exponential,0.90000000,0.20000000,-1.00000000,31,0.38083712
exponential,0.90000000,0.20000000,-1.00000000,32,0.36895428
exponential,0.90000000,0.20000000,-1.00000000,33,0.35731149
exponential,0.90000000,0.20000000,-1.00000000,34,0.34590390
exponential,0.90000000,0.20000000,-1.00000000,35,0.33472676
exponential,0.90000000,0.20000000,-1.00000000,36,0.32377541
exponential,0.90000000,0.20000000,-1.00000000,37,0.31304529
exponential,0.90000000,0.20000000,-1.00000000,38,0.30253193
exponential,0.90000000,0.20000000,-1.00000000,39,0.29223096
exponential,0.90000000,0.20000000,-1.00000000,40,0.28213808
exponential,0.90000000,0.20000000,-1.00000000,41,0.27224909
exponential,0.90000000,0.20000000,-1.00000000,42,0.26255988
exponential,0.90000000,0.20000000,-1.00000000,43,0.25306639
exponential,0.90000000,0.20000000,-1.00000000,44,0.24376469
exponential,0.90000000,0.20000000,-1.00000000,45,0.23465089
exponential,0.90000000,0.20000000,-1.00000000,46,0.22572121
exponential,0.90000000,0.20000000,-1.00000000,47,0.21697192
exponential,0.90000000,0.20000000,-1.00000000,48,0.20839937
exponential,0.90000000,0.20000000,-1.00000000,49,0.20000000
exponential,0.90000000,0.20000000,1.00000000,0,0.90000000
exponential,0.90000000,0.20000000,1.00000000,1,0.89160063
exponential,0.90000000,0.20000000,1.00000000,2,0.88302808
exponential,0.90000000,0.20000000,1.00000000,3,0.87427879
exponential,0.90000000,0.20000000,1.00000000,4,0.86534911
exponential,0.90000000,0.20000000,1.00000000,5,0.85623531
exponential,0.90000000,0.20000000,1.00000000,6,0.84693361
exponential,0.90000000,0.20000000,1.00000000,7,0.83744012
exponential,0.90000000,0.20000000,1.00000000,8,0.82775091
exponential,0.90000000,0.20000000,1.00000000,9,0.81786192
exponential,0.90000000,0.20000000,1.00000000,10,0.80776904
exponential,0.90000000,0.20000000,1.00000000,11,0.79746807
exponential,0.90000000,0.20000000,1.00000000,12,0.78695471
exponential,0.90000000,0.20000000,1.00000000,13,0.77622459
exponential,0.90000000,0.20000000,1.00000000,14,0.76527324
exponential,0.90000000,0.20000000,1.00000000,15,0.75409610
exponential,0.90000000,0.20000000,1.00000000,16,0.74268851
exponential,0.90000000,0.20000000,1.00000000,17,0.73104572
exponential,0.90000000,0.20000000,1.00000000,18,0.71916288
exponential,0.90000000,0.20000000,1.00000000,19,0.70703504
exponential,0.90000000,0.20000000,1.00000000,20,0.69465715
exponential,0.90000000,0.20000000,1.00000000,21,0.68202405
exponential,0.90000000,0.20000000,1.00000000,22,0.66913049
exponential,0.90000000,0.20000000,1.00000000,23,0.65597109
exponential,0.90000000,0.20000000,1.00000000,24,0.64254038
exponential,0.90000000,0.20000000,1.00000000,25,0.62883275
exponential,0.90000000,0.20000000,1.00000000,26,0.61484250
exponential,0.90000000,0.20000000,1.00000000,27,0.60056380
exponential,0.90000000,0.20000000,1.00000000,28,0.58599070
exponential,0.90000000,0.20000000,1.00000000,29,0.57111714
exponential,0.90000000,0.20000000,1.00000000,30,0.55593692
exponential,0.90000000,0.20000000,1.00000000,31,0.54044372
exponential,0.90000000,0.20000000,1.00000000,32,0.52463108
exponential,0.90000000,0.20000000,1.00000000,33,0.50849241
exponential,0.90000000,0.20000000,1.00000000,34,0.49202101
exponential,0.90000000,0.20000000,1.00000000,35,0.47520999
exponential,0.90000000,0.20000000,1.00000000,36,0.45805237
exponential,0.90000000,0.20000000,1.00000000,37,0.44054100
exponential,0.90000000,0.20000000,1.00000000,38,0.42266858
exponential,0.90000000,0.20000000,1.00000000,39,0.40442767
exponential,0.90000000,0.20000000,1.00000000,40,0.38581068
exponential,0.90000000,0.20000000,1.00000000,41,0.36680984
exponential,0.90000000,0.20000000,1.00000000,42,0.34741724
exponential,0.90000000,0.20000000,1.00000000,43,0.32762481
exponential,0.90000000,0.20000000,1.00000000,44,0.30742431
exponential,0.90000000,0.20000000,1.00000000,45,0.28680731
exponential,0.90000000,0.20000000,1.00000000,46,0.26576524
exponential,0.90000000,0.20000000,1.00000000,47,0.24428932
exponential,0.90000000,0.20000000,1.00000000,48,0.22237062
exponential,0.90000000,0.20000000,1.00000000,49,0.20000000
exponential,0.90000000,0.20000000,2.00000000,0,0.90000000
exponential,0.90000000,0.20000000,2.00000000,1,0.89543555
exponential,0.90000000,0.20000000,2.00000000,2,0.89068094
exponential,0.90000000,0.20000000,2.00000000,3,0.88572825
exponential,0.90000000,0.20000000,2.00000000,4,0.88056923
exponential,0.90000000,0.20000000,2.00000000,5,0.87519527
exponential,0.90000000,0.20000000,2.00000000,6,0.86959744
exponential,0.90000000,0.20000000,2.00000000,7,0.86376639
exponential,0.90000000,0.20000000,2.00000000,8,0.85769242
exponential,0.90000000,0.20000000,2.00000000,9,0.85136541
exponential,0.90000000,0.20000000,2.00000000,10,0.84477480
exponential,0.90000000,0.20000000,2.00000000,11,0.83790963
exponential,0.90000000,0.20000000,2.00000000,12,0.83075844
exponential,0.90000000,0.20000000,2.00000000,13,0.82330934
exponential,0.90000000,0.20000000,2.00000000,14,0.81554989
exponential,0.90000000,0.20000000,2.00000000,15,0.80746719
exponential,0.90000000,0.20000000,2.00000000,16,0.79904775
exponential,0.90000000,0.20000000,2.00000000,17,0.79027755
exponential,0.90000000,0.20000000,2.00000000,18,0.78114198
exponential,0.90000000,0.20000000,2.00000000,19,0.77162581
exponential,0.90000000,0.20000000,2.00000000,20,0.76171319
exponential,0.90000000,0.20000000,2.00000000,21,0.75138761
exponential,0.90000000,0.20000000,2.00000000,22,0.74063185
exponential,0.90000000,0.20000000,2.00000000,23,0.72942800
exponential,0.90000000,0.20000000,2.00000000,24,0.71775739
exponential,0.90000000,0.20000000,2.00000000,25,0.70560057
exponential,0.90000000,0.20000000,2.00000000,26,0.69293729
exponential,0.90000000,0.20000000,2.00000000,27,0.67974645
