parameter,value,seed_index,python_seed,city_seed,best_distance,blind_rounds
blind_stagnation_limit,20,6,49,53,15885.01539639,10
blind_stagnation_limit,20,7,50,54,15784.03969516,10
blind_stagnation_limit,20,8,51,55,16365.99218266,10
blind_stagnation_limit,20,9,52,56,15746.60528987,10
blind_stagnation_limit,20,10,53,57,15501.27674794,15
blind_stagnation_limit,20,11,54,58,15917.51654648,5
blind_stagnation_limit,20,12,55,59,15217.97444555,10
blind_stagnation_limit,20,13,56,60,15554.98666738,5
blind_stagnation_limit,20,14,57,61,15134.61269338,15
blind_stagnation_limit,20,15,58,62,15191.90587466,5
blind_stagnation_limit,20,16,59,63,15328.91639337,10
blind_stagnation_limit,20,17,60,64,15395.65170943,5
blind_stagnation_limit,20,18,61,65,15268.63693437,5
blind_stagnation_limit,20,19,62,66,15023.35550177,15
blind_stagnation_limit,30,0,43,47,14561.13362450,10
blind_stagnation_limit,30,1,44,48,15621.96593549,0
blind_stagnation_limit,30,2,45,49,15783.36110030,5
blind_stagnation_limit,30,3,46,50,16687.15961314,5
blind_stagnation_limit,30,4,47,51,16124.17915505,5
blind_stagnation_limit,30,5,48,52,14831.10255567,0
blind_stagnation_limit,30,6,49,53,15924.91863308,5
blind_stagnation_limit,30,7,50,54,16230.82976525,5
blind_stagnation_limit,30,8,51,55,16377.62006973,5
blind_stagnation_limit,30,9,52,56,15746.60528987,5
blind_stagnation_limit,30,10,53,57,15501.27674794,10
blind_stagnation_limit,30,11,54,58,15917.51654648,5
blind_stagnation_limit,30,12,55,59,15198.29413065,5
blind_stagnation_limit,30,13,56,60,15554.98666738,0
blind_stagnation_limit,30,14,57,61,15134.61269338,10
blind_stagnation_limit,30,15,58,62,15396.92693660,5
blind_stagnation_limit,30,16,59,63,15328.91639337,5
blind_stagnation_limit,30,17,60,64,15395.65170943,5
blind_stagnation_limit,30,18,61,65,15331.49117102,5
blind_stagnation_limit,30,19,62,66,15023.35550177,10
blind_iterations,1,0,43,47,14561.13362450,6
blind_iterations,1,1,44,48,15673.23664838,4
blind_iterations,1,2,45,49,15807.49198582,5
blind_iterations,1,3,46,50,16687.15961314,3
blind_iterations,1,4,47,51,16124.17915505,3
blind_iterations,1,5,48,52,14950.83352376,3
blind_iterations,1,6,49,53,15900.06589721,5
blind_iterations,1,7,50,54,15779.08016532,3
blind_iterations,1,8,51,55,16357.35775127,3
blind_iterations,1,9,52,56,15755.86426605,7
blind_iterations,1,10,53,57,15501.27674794,6
blind_iterations,1,11,54,58,15917.51654648,3
blind_iterations,1,12,55,59,15217.97444555,5
blind_iterations,1,13,56,60,15662.03719002,4
blind_iterations,1,14,57,61,15134.61269338,6
blind_iterations,1,15,58,62,15191.90587466,5
blind_iterations,1,16,59,63,15328.91639337,5
blind_iterations,1,17,60,64,15447.96206804,4
blind_iterations,1,18,61,65,15331.49117102,5
blind_iterations,1,19,62,66,15023.35550177,6
blind_iterations,3,0,43,47,14561.13362450,18
blind_iterations,3,1,44,48,15416.85982946,9
blind_iterations,3,2,45,49,15634.99560724,6
blind_iterations,3,3,46,50,16687.15961314,9
blind_iterations,3,4,47,51,16124.17915505,9
blind_iterations,3,5,48,52,14831.10255567,12
blind_iterations,3,6,49,53,15835.52020559,9
blind_iterations,3,7,50,54,15784.03969516,12
blind_iterations,3,8,51,55,16331.76315635,12
blind_iterations,3,9,52,56,15746.60528987,15
blind_iterations,3,10,53,57,15478.13432069,15
